,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2961,0,0,0,0,-0.8295205827584317,1,1,-0.3659839499555126,-0.7217511324554076,-1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1165,0,0,0,0,-0.30015585439803716,1,1,-1.491020519067978,-0.78261637380801,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2549,0,0,0,0,-1.2367242199587352,1,1,-1.4860351280674797,-0.9932714818916268,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
6248,1,0,1,0,1.125056875803025,0,1,-0.13167057293208934,0.5828888033347218,-1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
5048,1,1,1,0,0.880734693482843,1,1,1.141265929195161,1.3925046887623553,-1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
2171,1,0,0,0,-1.2367242199587352,1,1,-0.13000877593192306,-0.9589644144045233,-1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2635,0,0,0,0,1.247217966963116,1,1,-1.3132082400502028,-0.3196696523121555,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3906,1,0,1,0,-1.2774445836787656,1,1,0.466576347127715,-0.9733583706475035,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3083,0,0,1,1,1.125056875803025,1,1,-1.3564149620545218,-0.34302671627699155,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4923,1,0,0,0,0.7992939660427822,1,1,-0.4989277099688025,0.11137635327709396,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
2552,1,0,1,0,0.5956921474426305,1,1,-1.2583689390447208,-0.4558603211203542,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
496,0,0,1,0,-0.1779947632379461,1,1,-0.12834697893175703,-0.21972879355146238,-1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
4482,1,0,0,0,-1.0331224013585834,1,1,0.33695618111475767,-0.7692158654652352,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
3666,1,0,1,1,0.7178532386027215,1,1,0.6526976111463211,0.8092624648615931,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
2405,1,0,1,1,-0.9924020376385531,1,1,0.9784098231788811,-0.6649479891836464,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
5385,0,0,0,0,0.8400143297628127,1,1,0.6875953481498096,0.986361110538262,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
128,0,0,0,0,-1.2774445836787656,1,1,-1.4960059100684764,-0.9994308588729021,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
4597,1,0,0,0,-1.0738427650786138,1,1,1.1695164781979852,-0.766345904864641,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
4058,1,0,1,1,0.3106496014024181,1,1,0.6676537841478158,0.45025247034725924,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
4810,1,1,0,0,-0.7073594915983407,1,1,0.8338334841644282,-0.3789895302644378,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
6595,0,0,1,0,1.5729808767233588,1,1,0.5912111221401742,1.5671528296185164,-1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1840,0,0,1,1,1.3286586944031769,1,1,1.4586691562268908,2.0551785914395637,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
4401,1,1,1,1,0.5549717837226001,1,1,1.5101848632320405,1.1871921227198448,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
3178,0,0,1,0,0.7992939660427822,1,1,0.642726829145324,0.9119187478828483,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
4701,0,1,0,0,-0.46303730927815856,1,1,1.3157546142126038,-0.0050557406270137694,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
6751,0,0,0,0,0.7992939660427822,1,1,-1.4993295040688086,-0.5555583370609969,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2114,0,0,0,0,0.3106496014024181,1,1,-0.09511103892843457,0.1606292925072918,-1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
6859,1,0,0,0,1.5729808767233588,1,1,1.5467443972356951,2.5178824701153677,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1133,0,0,0,1,-1.2367242199587352,1,1,-1.5126238800701375,-0.9868030322302874,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
2828,0,0,0,0,-1.2774445836787656,1,1,-1.4727407520661506,-0.9991217861928381,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6059,1,0,0,0,0.26992923768238775,0,1,-0.8130073430001998,-0.2882766986656554,-1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
825,1,0,1,1,-0.6666391278783103,1,1,0.8205391081630994,-0.3766494085439533,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
5307,0,0,1,1,-1.2774445836787656,1,1,0.8421424691652587,-0.9683690545264706,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
4559,0,0,0,0,-1.0738427650786138,1,1,-1.4827115340671475,-0.9505311455627772,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
4176,0,0,1,1,-0.5851984004382496,1,1,-1.4943441130683104,-0.8570145832234143,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
6435,0,0,1,1,0.7992939660427822,0,1,-0.48397153696730727,0.11952262605878058,-1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
1980,0,0,0,0,-0.9109613101984924,1,1,1.0133075601823696,-0.5571037004613169,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
5182,0,0,0,0,-0.8295205827584317,1,1,-1.3231790220511994,-0.8843454387890732,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5525,1,0,1,1,0.880734693482843,1,1,-1.329826210051864,-0.4155484129920074,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2590,1,1,1,0,-0.30015585439803716,1,1,0.785641371159611,-0.04068740531439133,-1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
4398,0,0,1,1,1.5322605130033284,1,1,0.13920233809498894,1.1371223485494775,-1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
897,1,0,0,0,0.8400143297628127,1,1,1.3556377422165908,1.500746356644767,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
113,1,1,1,0,0.18848851024232702,1,1,0.39013368512007346,0.2582300295475004,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
277,0,1,1,0,-0.46303730927815856,1,1,0.006258578081699082,-0.4165860141322223,-1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
4676,0,0,0,1,-0.5444780367182193,1,1,-1.4876969250676457,-0.8414505661201918,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1782,1,1,0,0,-0.2594354906780068,1,1,0.042818112085353605,-0.2785629858636442,-1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
2234,0,0,1,1,-0.38159658183809786,1,1,-0.16823010693574386,-0.3837360035654206,-1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
5702,0,1,1,1,1.5729808767233588,1,1,1.3406815692150957,2.324579585355344,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
2888,1,1,0,1,-1.2774445836787656,1,1,0.2073360151017999,-0.9768023233682167,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
913,0,0,0,0,-0.8295205827584317,1,1,-1.4860351280674797,-0.8902619729502983,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5225,0,0,1,1,1.6137012404433893,1,1,1.3190782082129364,2.2852390485071985,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
4473,1,1,1,0,-0.2594354906780068,1,1,1.1080299891918384,0.100404273134822,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
4071,1,0,0,0,-0.6666391278783103,0,1,-0.8595376590048512,-0.7147969971539677,-1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
2066,0,0,1,1,1.2879383306831464,1,1,-1.328164413051698,-0.33929576749621915,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
569,1,0,0,0,-0.8702409464784621,0,1,-0.8096837489998675,-0.8215595314960733,-1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1531,1,0,1,1,0.10704778280226633,1,1,-1.2965902700485417,-0.6184767040740243,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
3032,0,0,0,0,-0.62591876415828,1,1,-1.505976692069473,-0.8452035915209688,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
2529,0,1,0,0,0.5142514200025698,1,1,-0.06852228692577646,0.22438657108049298,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1039,0,0,1,0,0.22920887396235737,1,1,0.4881797081298748,0.3222080743207473,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
5369,1,0,0,0,0.06632741908223598,1,1,-1.4760643460664828,-0.7109115120331633,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
6640,0,0,1,1,-0.1779947632379461,0,1,-0.46402997296531395,-0.3958339913279255,-1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
2884,1,1,1,1,1.6137012404433893,1,1,0.8438042661654253,1.9573791648193142,-1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
1385,1,0,0,0,0.6364125111626608,1,1,1.2542681252064576,1.1572341493736418,-1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
4712,0,0,1,1,0.7178532386027215,1,1,1.4453747802255617,1.389987954081834,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
2937,1,0,1,1,1.2879383306831464,1,1,0.9335413041743955,1.632543778072056,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
4120,0,0,1,1,-0.2594354906780068,1,1,0.47156173812821356,-0.10996383888873526,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
5848,0,0,1,1,1.6137012404433893,1,1,1.302460238211275,2.3111570003925648,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
89,0,0,1,0,-0.13727439951791576,0,1,-1.0307027500219619,-0.5625345489824414,-1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
4336,1,1,0,0,1.6137012404433893,1,1,1.506861269231708,2.4122679200135,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
4517,1,1,1,0,-0.8702409464784621,1,1,1.156222102196656,-0.5086896727912926,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
4318,0,0,0,0,0.9621754209229036,1,1,0.3652067301175816,0.8836606742769975,-1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
703,1,0,0,0,-1.2367242199587352,1,1,-1.4694171580658184,-0.9933156351316359,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
3668,0,0,1,0,-0.4223169455581282,1,1,-0.16656830993557784,-0.40133106970906374,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
2536,0,0,0,0,-0.30015585439803716,1,1,-1.3115464430500368,-0.7095206849728753,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
3837,1,0,0,0,-1.1552834925186746,1,1,1.3589613362169235,-0.812154891374126,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1204,0,0,1,1,-0.5851984004382496,0,1,-1.303237458049206,-0.8015801903919365,-1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
6634,1,0,1,1,-0.9109613101984924,1,1,1.2409737492051283,-0.5362192179369927,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
